year,morans_I,expected_I,p_sim,p_norm,z_sim
2015,0.19922177173453645,-0.0004037141703673799,0.001,1.1407165227383298e-60,15.513147248732391
2016,0.16009555896034988,-0.0004037141703673799,0.001,7.5966894587778e-40,16.168011305388383
2017,0.10069692130446808,-0.0004037141703673799,0.004,8.671959955104691e-17,8.672638427966747
2018,0.1277121394562305,-0.0004037141703673799,0.001,5.338201666269691e-26,12.199149423439218
2019,0.1120365792050432,-0.0004037141703673799,0.001,2.140991824086807e-20,11.726552843374504
2020,0.0499767744234022,-0.0004037141703673799,0.007,3.3705863000125975e-05,5.280174736481817
2021,0.035665942942905066,-0.0004037141703673799,0.006,0.002988414536086144,4.9629615461182235
2022,0.049716537203838757,-0.0004037141703673799,0.004,3.700191597698066e-05,6.039338740803717
2023,0.08065548319391617,-0.0004037141703673799,0.001,2.5224054863370975e-11,10.260270223294423
2024,0.07585967405668974,-0.0004037141703673799,0.002,3.4447940527689697e-10,9.51924100754896
2025,0.09153936869368824,-0.0004037141703673799,0.001,3.792446738063872e-14,11.393908480418853
